flight_date,flight_status,aircraft,live,departure_airport,departure_timezone,departure_iata,departure_icao,departure_terminal,departure_gate,departure_delay,departure_scheduled,departure_estimated,departure_actual,departure_estimated_runway,departure_actual_runway,arrival_airport,arrival_timezone,arrival_iata,arrival_icao,arrival_terminal,arrival_gate,arrival_baggage,arrival_scheduled,arrival_delay,arrival_estimated,arrival_actual,arrival_estimated_runway,arrival_actual_runway,airline_name,airline_iata,airline_icao,flight_number,flight_iata,flight_icao,flight_codeshared,flight_codeshared_airline_name,flight_codeshared_airline_iata,flight_codeshared_airline_icao,flight_codeshared_flight_number,flight_codeshared_flight_iata,flight_codeshared_flight_icao
2025-07-05,scheduled,,,Dublin International,Europe/Dublin,DUB,EIDW,,,630.0,2025-07-05T08:00:00+00:00,2025-07-05T08:00:00+00:00,,,,Dyce,Europe/London,ABZ,EGPD,,,,2025-07-05T09:20:00+00:00,,,,,,Qatar Airways,QR,QTR,8243,QR8243,QTR8243,,aer lingus,ei,ein,3242,ei3242,ein3242
2025-07-05,scheduled,,,Dublin International,Europe/Dublin,DUB,EIDW,,,630.0,2025-07-05T08:00:00+00:00,2025-07-05T08:00:00+00:00,,,,Dyce,Europe/London,ABZ,EGPD,,,,2025-07-05T09:20:00+00:00,,,,,,British Airways,BA,BAW,8982,BA8982,BAW8982,,aer lingus,ei,ein,3242,ei3242,ein3242
2025-07-05,active,,,Albury,Australia/Sydney,ABX,YMAY,,,12.0,2025-07-05T10:10:00+00:00,2025-07-05T10:10:00+00:00,2025-07-05T10:21:00+00:00,2025-07-05T10:21:00+00:00,2025-07-05T10:21:00+00:00,Sydney Kingsford Smith Airport,Australia/Sydney,SYD,YSSY,3,16,QFR,2025-07-05T11:30:00+00:00,,,,,,QantasLink,,QLK,2204,,QLK2204,,,,,,,
2025-07-05,active,,,Beijing Capital International,Asia/Shanghai,PEK,ZBAA,3,"J,K",110.0,2025-07-05T14:30:00+00:00,2025-07-05T14:30:00+00:00,,,,Urumqi,Asia/Shanghai,URC,ZWWW,,,,2025-07-05T18:40:00+00:00,,,,,,Shenzhen Airlines,ZH,CSZ,1293,ZH1293,CSZ1293,,air china ltd,ca,cca,1293,ca1293,cca1293
2025-07-05,active,,,Beijing Capital International,Asia/Shanghai,PEK,ZBAA,3,"J,K",110.0,2025-07-05T14:30:00+00:00,2025-07-05T14:30:00+00:00,,,,Urumqi,Asia/Shanghai,URC,ZWWW,,,,2025-07-05T18:40:00+00:00,,,,,,Shandong Airlines,SC,CDG,5721,SC5721,CDG5721,,air china ltd,ca,cca,1293,ca1293,cca1293
2025-07-05,scheduled,,,Portland International,America/Los_Angeles,PDX,KPDX,,D15,,2025-07-05T06:55:00+00:00,2025-07-05T06:55:00+00:00,,,,John F Kennedy International,America/New_York,JFK,KJFK,4,B55,,2025-07-05T15:25:00+00:00,,,,,,Delta Air Lines,DL,DAL,451,DL451,DAL451,,,,,,,
2025-07-05,scheduled,,,Portland International,America/Los_Angeles,PDX,KPDX,,D15,,2025-07-05T06:55:00+00:00,2025-07-05T06:55:00+00:00,,,,John F Kennedy International,America/New_York,JFK,KJFK,4,B55,,2025-07-05T15:25:00+00:00,,,,,,Virgin Atlantic,VS,VIR,4850,VS4850,VIR4850,,delta air lines,dl,dal,451,dl451,dal451
2025-07-05,scheduled,,,Portland International,America/Los_Angeles,PDX,KPDX,,D15,,2025-07-05T06:55:00+00:00,2025-07-05T06:55:00+00:00,,,,John F Kennedy International,America/New_York,JFK,KJFK,4,B55,,2025-07-05T15:25:00+00:00,,,,,,Air Europa,UX,AEA,3428,UX3428,AEA3428,,delta air lines,dl,dal,451,dl451,dal451
2025-07-05,scheduled,,,Portland International,America/Los_Angeles,PDX,KPDX,,D15,,2025-07-05T06:55:00+00:00,2025-07-05T06:55:00+00:00,,,,John F Kennedy International,America/New_York,JFK,KJFK,4,B55,,2025-07-05T15:25:00+00:00,,,,,,SAS,SK,SAS,3415,SK3415,SAS3415,,delta air lines,dl,dal,451,dl451,dal451
2025-07-05,scheduled,,,Portland International,America/Los_Angeles,PDX,KPDX,,D15,,2025-07-05T06:55:00+00:00,2025-07-05T06:55:00+00:00,,,,John F Kennedy International,America/New_York,JFK,KJFK,4,B55,,2025-07-05T15:25:00+00:00,,,,,,LATAM Airlines,LA,LAN,6631,LA6631,LAN6631,,delta air lines,dl,dal,451,dl451,dal451
2025-07-05,scheduled,,,Portland International,America/Los_Angeles,PDX,KPDX,,D15,,2025-07-05T06:55:00+00:00,2025-07-05T06:55:00+00:00,,,,John F Kennedy International,America/New_York,JFK,KJFK,4,B55,,2025-07-05T15:25:00+00:00,,,,,,Alitalia,AZ,AZA,3273,AZ3273,AZA3273,,delta air lines,dl,dal,451,dl451,dal451
2025-07-05,scheduled,,,Portland International,America/Los_Angeles,PDX,KPDX,,D15,,2025-07-05T06:55:00+00:00,2025-07-05T06:55:00+00:00,,,,John F Kennedy International,America/New_York,JFK,KJFK,4,B55,,2025-07-05T15:25:00+00:00,,,,,,Air France,AF,AFR,8535,AF8535,AFR8535,,delta air lines,dl,dal,451,dl451,dal451
2025-07-05,scheduled,,,Portland International,America/Los_Angeles,PDX,KPDX,,E10,11.0,2025-07-05T06:40:00+00:00,2025-07-05T06:40:00+00:00,,,,Mineta San Jose International Airport,America/Los_Angeles,SJC,KSJC,B,24,,2025-07-05T08:25:00+00:00,,,,,,Southwest Airlines,WN,SWA,1722,WN1722,SWA1722,,,,,,,
2025-07-05,scheduled,,,Portland International,America/Los_Angeles,PDX,KPDX,,,12.0,2025-07-05T06:35:00+00:00,2025-07-05T06:35:00+00:00,,,,Louisville International (Standiford Field),America/Kentucky/Louisville,SDF,KSDF,,,,2025-07-05T13:21:00+00:00,,,,,,UPS Airlines,5X,UPS,5973,5X5973,UPS5973,,,,,,,
2025-07-05,scheduled,,,Portland International,America/Los_Angeles,PDX,KPDX,,C16,,2025-07-05T06:35:00+00:00,2025-07-05T06:35:00+00:00,,,,Denver International,America/Denver,DEN,KDEN,,,7,2025-07-05T10:14:00+00:00,,,,,,Frontier Airlines,F9,FFT,1790,F91790,FFT1790,,,,,,,
2025-07-05,scheduled,,,Portland International,America/Los_Angeles,PDX,KPDX,,C16,,2025-07-05T06:35:00+00:00,2025-07-05T06:35:00+00:00,,,,Denver International,America/Denver,DEN,KDEN,,,7,2025-07-05T10:14:00+00:00,,,,,,Volaris,Y4,VOI,2278,Y42278,VOI2278,,frontier airlines,f9,fft,1790,f91790,fft1790
2025-07-05,scheduled,,,Portland International,America/Los_Angeles,PDX,KPDX,,D5,,2025-07-05T06:25:00+00:00,2025-07-05T06:25:00+00:00,,,,Minneapolis - St. Paul International,America/Chicago,MSP,KMSP,1,G18,6,2025-07-05T11:43:00+00:00,,,,,,Delta Air Lines,DL,DAL,2369,DL2369,DAL2369,,,,,,,
2025-07-05,scheduled,,,Portland International,America/Los_Angeles,PDX,KPDX,,D5,,2025-07-05T06:25:00+00:00,2025-07-05T06:25:00+00:00,,,,Minneapolis - St. Paul International,America/Chicago,MSP,KMSP,1,G18,6,2025-07-05T11:43:00+00:00,,,,,,WestJet,WS,WJA,8313,WS8313,WJA8313,,delta air lines,dl,dal,2369,dl2369,dal2369
2025-07-05,scheduled,,,Portland International,America/Los_Angeles,PDX,KPDX,,D5,,2025-07-05T06:25:00+00:00,2025-07-05T06:25:00+00:00,,,,Minneapolis - St. Paul International,America/Chicago,MSP,KMSP,1,G18,6,2025-07-05T11:43:00+00:00,,,,,,Korean Air,KE,KAL,6748,KE6748,KAL6748,,delta air lines,dl,dal,2369,dl2369,dal2369
2025-07-05,scheduled,,,Portland International,America/Los_Angeles,PDX,KPDX,,D5,,2025-07-05T06:25:00+00:00,2025-07-05T06:25:00+00:00,,,,Minneapolis - St. Paul International,America/Chicago,MSP,KMSP,1,G18,6,2025-07-05T11:43:00+00:00,,,,,,Air France,AF,AFR,2124,AF2124,AFR2124,,delta air lines,dl,dal,2369,dl2369,dal2369
2025-07-05,scheduled,,,Portland International,America/Los_Angeles,PDX,KPDX,,,8.0,2025-07-05T06:20:00+00:00,2025-07-05T06:20:00+00:00,,,,Greater Rockford Airport,America/Chicago,RFD,KRFD,,,,2025-07-05T11:42:00+00:00,,,,,,UPS Airlines,5X,UPS,5975,5X5975,UPS5975,,,,,,,
2025-07-05,scheduled,,,Portland International,America/Los_Angeles,PDX,KPDX,,E11,11.0,2025-07-05T06:20:00+00:00,2025-07-05T06:20:00+00:00,,,,Midway,America/Chicago,MDW,KMDW,,B2,,2025-07-05T12:15:00+00:00,,,,,,Southwest Airlines,WN,SWA,2735,WN2735,SWA2735,,,,,,,
2025-07-05,scheduled,,,Portland International,America/Los_Angeles,PDX,KPDX,,E13,4.0,2025-07-05T06:15:00+00:00,2025-07-05T06:15:00+00:00,,,,Vancouver International,America/Vancouver,YVR,CYVR,M,E87,33,2025-07-05T07:32:00+00:00,,,,,,Air Canada,AC,ACA,8649,AC8649,ACA8649,,,,,,,
2025-07-05,scheduled,,,Portland International,America/Los_Angeles,PDX,KPDX,,E13,4.0,2025-07-05T06:15:00+00:00,2025-07-05T06:15:00+00:00,,,,Vancouver International,America/Vancouver,YVR,CYVR,M,E87,33,2025-07-05T07:32:00+00:00,,,,,,United Airlines,UA,UAL,8216,UA8216,UAL8216,,air canada,ac,aca,8649,ac8649,aca8649
2025-07-05,scheduled,,,Portland International,America/Los_Angeles,PDX,KPDX,,E13,4.0,2025-07-05T06:15:00+00:00,2025-07-05T06:15:00+00:00,,,,Vancouver International,America/Vancouver,YVR,CYVR,M,E87,33,2025-07-05T07:32:00+00:00,,,,,,Air New Zealand,NZ,ANZ,4699,NZ4699,ANZ4699,,air canada,ac,aca,8649,ac8649,aca8649
2025-07-05,scheduled,,,Portland International,America/Los_Angeles,PDX,KPDX,,D11,,2025-07-05T06:15:00+00:00,2025-07-05T06:15:00+00:00,,,,Los Angeles International,America/Los_Angeles,LAX,KLAX,2,23B,,2025-07-05T08:44:00+00:00,,,,,,Delta Air Lines,DL,DAL,2947,DL2947,DAL2947,,,,,,,
2025-07-05,scheduled,,,Portland International,America/Los_Angeles,PDX,KPDX,,D11,,2025-07-05T06:15:00+00:00,2025-07-05T06:15:00+00:00,,,,Los Angeles International,America/Los_Angeles,LAX,KLAX,2,23B,,2025-07-05T08:44:00+00:00,,,,,,Virgin Atlantic,VS,VIR,4156,VS4156,VIR4156,,delta air lines,dl,dal,2947,dl2947,dal2947
2025-07-05,scheduled,,,Portland International,America/Los_Angeles,PDX,KPDX,,D11,,2025-07-05T06:15:00+00:00,2025-07-05T06:15:00+00:00,,,,Los Angeles International,America/Los_Angeles,LAX,KLAX,2,23B,,2025-07-05T08:44:00+00:00,,,,,,China Eastern Airlines,MU,CES,8798,MU8798,CES8798,,delta air lines,dl,dal,2947,dl2947,dal2947
2025-07-05,scheduled,,,Korla,Asia/Shanghai,KRL,ZWKL,,,,2025-07-05T21:50:00+00:00,2025-07-05T21:50:00+00:00,,,,Urumqi,Asia/Shanghai,URC,ZWWW,2,,,2025-07-05T22:45:00+00:00,,,,,,Tianjin Airlines,GS,GCR,7472,GS7472,GCR7472,,,,,,,
2025-07-05,scheduled,,,Korla,Asia/Shanghai,KRL,ZWKL,,,,2025-07-05T21:05:00+00:00,2025-07-05T21:05:00+00:00,,,,Zhengzhou,Asia/Shanghai,CGO,ZHCC,T2,,,2025-07-06T01:05:00+00:00,,,,,,West Air (China),PN,CHB,6390,PN6390,CHB6390,,,,,,,
2025-07-05,scheduled,,,Korla,Asia/Shanghai,KRL,ZWKL,,,,2025-07-05T20:15:00+00:00,2025-07-05T20:15:00+00:00,,,,Beijing Capital International,Asia/Shanghai,PEK,ZBAA,2,,17,2025-07-06T00:30:00+00:00,,,,,,Air China LTD,CA,CCA,1260,CA1260,CCA1260,,,,,,,
2025-07-05,scheduled,,,Korla,Asia/Shanghai,KRL,ZWKL,,,,2025-07-05T20:15:00+00:00,2025-07-05T20:15:00+00:00,,,,Beijing Capital International,Asia/Shanghai,PEK,ZBAA,2,,17,2025-07-06T00:30:00+00:00,,,,,,Shenzhen Airlines,ZH,CSZ,1260,ZH1260,CSZ1260,,air china ltd,ca,cca,1260,ca1260,cca1260
2025-07-05,active,,,Haneda Airport,Asia/Tokyo,HND,RJTT,3,145,13.0,2025-07-05T11:30:00+00:00,2025-07-05T11:30:00+00:00,2025-07-05T11:42:00+00:00,2025-07-05T11:42:00+00:00,2025-07-05T11:42:00+00:00,Chicago O'hare International,America/Chicago,ORD,KORD,5,,,2025-07-05T09:15:00+00:00,,,,,,Malaysia Airlines,MH,MAS,9110,MH9110,MAS9110,,japan airlines (oneworld livery),jl,jal,10,jl10,jal10
2025-07-05,active,,,Haneda Airport,Asia/Tokyo,HND,RJTT,3,145,13.0,2025-07-05T11:30:00+00:00,2025-07-05T11:30:00+00:00,2025-07-05T11:42:00+00:00,2025-07-05T11:42:00+00:00,2025-07-05T11:42:00+00:00,Chicago O'hare International,America/Chicago,ORD,KORD,5,,,2025-07-05T09:15:00+00:00,,,,,,American Airlines,AA,AAL,8405,AA8405,AAL8405,,japan airlines (oneworld livery),jl,jal,10,jl10,jal10
2025-07-05,scheduled,,,Minangkabau International Airport,Asia/Jakarta,PDG,WIEE,,,,2025-07-05T17:35:00+00:00,2025-07-05T17:35:00+00:00,,,,Soekarno-Hatta International,Asia/Jakarta,CGK,WIII,3,,,2025-07-05T19:30:00+00:00,,,,,,Garuda Indonesia,GA,GIA,165,GA165,GIA165,,,,,,,
2025-07-05,scheduled,,,Minangkabau International Airport,Asia/Jakarta,PDG,WIEE,,,,2025-07-05T17:35:00+00:00,2025-07-05T17:35:00+00:00,,,,Soekarno-Hatta International,Asia/Jakarta,CGK,WIII,3,,,2025-07-05T19:30:00+00:00,,,,,,Etihad Airways,EY,ETD,7090,EY7090,ETD7090,,garuda indonesia,ga,gia,165,ga165,gia165
2025-07-05,scheduled,,,Minangkabau International Airport,Asia/Jakarta,PDG,WIEE,,,,2025-07-05T17:35:00+00:00,2025-07-05T17:35:00+00:00,,,,Soekarno-Hatta International,Asia/Jakarta,CGK,WIII,3,,,2025-07-05T19:30:00+00:00,,,,,,Japan Airlines,JL,JTL,8480,JL8480,JTL8480,,garuda indonesia,ga,gia,165,ga165,gia165
2025-07-05,scheduled,,,Babullah,Asia/Jayapura,TTE,WAMT,,,,2025-07-05T15:20:00+00:00,2025-07-05T15:20:00+00:00,,,,,,LAH,WAPH,,,,2025-07-05T16:05:00+00:00,,,,,,Wings Air (Indonesia),IW,WON,1174,IW1174,WON1174,,,,,,,
2025-07-05,scheduled,,,Xianyang,Asia/Shanghai,XIY,ZLXY,3,,26.0,2025-07-05T18:45:00+00:00,2025-07-05T18:45:00+00:00,,,,,,HUZ,ZGHZ,T2,,,2025-07-05T21:35:00+00:00,,,,,,Beijing Capital Airlines,JD,CBJ,5283,JD5283,CBJ5283,,,,,,,
2025-07-05,scheduled,,,Haikou,Asia/Shanghai,HAK,ZJHK,T1,,,2025-07-05T19:25:00+00:00,2025-07-05T19:25:00+00:00,,,,,,HUZ,ZGHZ,T2,,,2025-07-05T21:10:00+00:00,,,,,,Tianjin Airlines,GS,GCR,6531,GS6531,GCR6531,,,,,,,
2025-07-05,scheduled,,,Guiyang,Asia/Shanghai,KWE,ZUGY,T3,,,2025-07-05T19:00:00+00:00,2025-07-05T19:00:00+00:00,,,,,,HUZ,ZGHZ,T2,,,2025-07-05T20:50:00+00:00,,,,,,Shenzhen Airlines,ZH,CSZ,5053,ZH5053,CSZ5053,,juneyao airlines,ho,dkh,1902,ho1902,dkh1902
2025-07-05,scheduled,,,Guiyang,Asia/Shanghai,KWE,ZUGY,T3,,,2025-07-05T19:00:00+00:00,2025-07-05T19:00:00+00:00,,,,,,HUZ,ZGHZ,T2,,,2025-07-05T20:50:00+00:00,,,,,,China Eastern Airlines,MU,CES,3652,MU3652,CES3652,,juneyao airlines,ho,dkh,1902,ho1902,dkh1902
2025-07-05,scheduled,,,Guiyang,Asia/Shanghai,KWE,ZUGY,T3,,,2025-07-05T19:00:00+00:00,2025-07-05T19:00:00+00:00,,,,,,HUZ,ZGHZ,T2,,,2025-07-05T20:50:00+00:00,,,,,,Xiamen Airlines,MF,CXA,7652,MF7652,CXA7652,,juneyao airlines,ho,dkh,1902,ho1902,dkh1902
2025-07-05,scheduled,,,Guiyang,Asia/Shanghai,KWE,ZUGY,T3,,,2025-07-05T19:00:00+00:00,2025-07-05T19:00:00+00:00,,,,,,HUZ,ZGHZ,T2,,,2025-07-05T20:50:00+00:00,,,,,,China Southern Airlines,CZ,CSN,257,CZ257,CSN257,,juneyao airlines,ho,dkh,1902,ho1902,dkh1902
2025-07-05,scheduled,,,Hangzhou,Asia/Shanghai,HGH,ZSHC,3,,,2025-07-05T18:40:00+00:00,2025-07-05T18:40:00+00:00,,,,,,HUZ,ZGHZ,T2,,,2025-07-05T20:40:00+00:00,,,,,,Juneyao Airlines,HO,DKH,2047,HO2047,DKH2047,,,,,,,
2025-07-05,scheduled,,,Hangzhou,Asia/Shanghai,HGH,ZSHC,3,,,2025-07-05T18:40:00+00:00,2025-07-05T18:40:00+00:00,,,,,,HUZ,ZGHZ,T2,,,2025-07-05T20:40:00+00:00,,,,,,Shenzhen Airlines,ZH,CSZ,5132,ZH5132,CSZ5132,,juneyao airlines,ho,dkh,2047,ho2047,dkh2047
2025-07-05,scheduled,,,Hangzhou,Asia/Shanghai,HGH,ZSHC,3,,,2025-07-05T18:40:00+00:00,2025-07-05T18:40:00+00:00,,,,,,HUZ,ZGHZ,T2,,,2025-07-05T20:40:00+00:00,,,,,,Sichuan Airlines,3U,CSC,4541,3U4541,CSC4541,,juneyao airlines,ho,dkh,2047,ho2047,dkh2047
2025-07-05,scheduled,,,Hangzhou,Asia/Shanghai,HGH,ZSHC,3,,,2025-07-05T18:40:00+00:00,2025-07-05T18:40:00+00:00,,,,,,HUZ,ZGHZ,T2,,,2025-07-05T20:40:00+00:00,,,,,,China Eastern Airlines,MU,CES,3731,MU3731,CES3731,,juneyao airlines,ho,dkh,2047,ho2047,dkh2047
2025-07-05,scheduled,,,Hangzhou,Asia/Shanghai,HGH,ZSHC,3,,,2025-07-05T18:40:00+00:00,2025-07-05T18:40:00+00:00,,,,,,HUZ,ZGHZ,T2,,,2025-07-05T20:40:00+00:00,,,,,,Xiamen Airlines,MF,CXA,7731,MF7731,CXA7731,,juneyao airlines,ho,dkh,2047,ho2047,dkh2047
2025-07-05,scheduled,,,Hangzhou,Asia/Shanghai,HGH,ZSHC,3,,,2025-07-05T18:40:00+00:00,2025-07-05T18:40:00+00:00,,,,,,HUZ,ZGHZ,T2,,,2025-07-05T20:40:00+00:00,,,,,,China Southern Airlines,CZ,CSN,294,CZ294,CSN294,,juneyao airlines,ho,dkh,2047,ho2047,dkh2047
2025-07-05,scheduled,,,Tianhe International,Asia/Shanghai,WUH,ZHHH,3,,35.0,2025-07-05T19:15:00+00:00,2025-07-05T19:15:00+00:00,,,,,,HUZ,ZGHZ,T2,,,2025-07-05T20:35:00+00:00,,,,,,Air China LTD,CA,CCA,8257,CA8257,CCA8257,,,,,,,
2025-07-05,scheduled,,,Tianhe International,Asia/Shanghai,WUH,ZHHH,3,,35.0,2025-07-05T19:15:00+00:00,2025-07-05T19:15:00+00:00,,,,,,HUZ,ZGHZ,T2,,,2025-07-05T20:35:00+00:00,,,,,,Shenzhen Airlines,ZH,CSZ,1057,ZH1057,CSZ1057,,air china ltd,ca,cca,8257,ca8257,cca8257
2025-07-05,scheduled,,,Tianhe International,Asia/Shanghai,WUH,ZHHH,3,,35.0,2025-07-05T19:15:00+00:00,2025-07-05T19:15:00+00:00,,,,,,HUZ,ZGHZ,T2,,,2025-07-05T20:35:00+00:00,,,,,,Shandong Airlines,SC,CDG,5735,SC5735,CDG5735,,air china ltd,ca,cca,8257,ca8257,cca8257
2025-07-05,scheduled,,,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,T2,,,2025-07-05T18:05:00+00:00,2025-07-05T18:05:00+00:00,,,,,,HUZ,ZGHZ,T2,,,2025-07-05T20:30:00+00:00,,,,,,China United Airlines,KN,CUA,5119,KN5119,CUA5119,,,,,,,
2025-07-05,scheduled,,,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,T2,,,2025-07-05T18:05:00+00:00,2025-07-05T18:05:00+00:00,,,,,,HUZ,ZGHZ,T2,,,2025-07-05T20:30:00+00:00,,,,,,China Eastern Airlines,MU,CES,8026,MU8026,CES8026,,china united airlines,kn,cua,5119,kn5119,cua5119
2025-07-05,scheduled,,,Nanchong,Asia/Shanghai,NAO,ZUNC,,,,2025-07-05T17:20:00+00:00,2025-07-05T17:20:00+00:00,,,,,,HUZ,ZGHZ,T2,,,2025-07-05T19:50:00+00:00,,,,,,Chongqing Airlines,OQ,CQN,2210,OQ2210,CQN2210,,,,,,,
2025-07-05,scheduled,,,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,2,220,,2025-07-05T17:20:00+00:00,2025-07-05T17:20:00+00:00,,,,,,HUZ,ZGHZ,T2,,,2025-07-05T19:50:00+00:00,,,,,,China Eastern Airlines,MU,CES,6137,MU6137,CES6137,,,,,,,
2025-07-05,scheduled,,,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,2,220,,2025-07-05T17:20:00+00:00,2025-07-05T17:20:00+00:00,,,,,,HUZ,ZGHZ,T2,,,2025-07-05T19:50:00+00:00,,,,,,Sichuan Airlines,3U,CSC,5375,3U5375,CSC5375,,china eastern airlines,mu,ces,6137,mu6137,ces6137
