flight_date,flight_status,departure_airport,departure_timezone,departure_iata,departure_icao,departure_terminal,departure_gate,departure_delay,departure_scheduled,departure_estimated,departure_actual,departure_estimated_runway,departure_actual_runway,arrival_airport,arrival_timezone,arrival_iata,arrival_icao,arrival_terminal,arrival_gate,arrival_baggage,arrival_scheduled,airline_name,airline_iata,airline_icao,flight_number,flight_iata,flight_icao,flight_codeshared_airline_name,flight_codeshared_airline_iata,flight_codeshared_airline_icao,flight_codeshared_flight_number,flight_codeshared_flight_iata,flight_codeshared_flight_icao,flight_duration,delay_outlier,flight_duration_outlier
2025-07-05,scheduled,Portland International,America/Los_Angeles,PDX,KPDX,unknown,D15,0.0,2025-07-05 06:55:00+00:00,2025-07-05 06:55:00+00:00,null,null,null,John F Kennedy International,America/New_York,JFK,KJFK,4,B55,unknown,2025-07-05 15:25:00+00:00,Virgin Atlantic,VS,VIR,4850,VS4850,VIR4850,delta air lines,dl,dal,451.0,dl451,dal451,8.5,False,False
2025-07-05,scheduled,Portland International,America/Los_Angeles,PDX,KPDX,unknown,D15,0.0,2025-07-05 06:55:00+00:00,2025-07-05 06:55:00+00:00,null,null,null,John F Kennedy International,America/New_York,JFK,KJFK,4,B55,unknown,2025-07-05 15:25:00+00:00,Air Europa,UX,AEA,3428,UX3428,AEA3428,delta air lines,dl,dal,451.0,dl451,dal451,8.5,False,False
2025-07-05,scheduled,Portland International,America/Los_Angeles,PDX,KPDX,unknown,D15,0.0,2025-07-05 06:55:00+00:00,2025-07-05 06:55:00+00:00,null,null,null,John F Kennedy International,America/New_York,JFK,KJFK,4,B55,unknown,2025-07-05 15:25:00+00:00,SAS,SK,SAS,3415,SK3415,SAS3415,delta air lines,dl,dal,451.0,dl451,dal451,8.5,False,False
2025-07-05,scheduled,Portland International,America/Los_Angeles,PDX,KPDX,unknown,D15,0.0,2025-07-05 06:55:00+00:00,2025-07-05 06:55:00+00:00,null,null,null,John F Kennedy International,America/New_York,JFK,KJFK,4,B55,unknown,2025-07-05 15:25:00+00:00,LATAM Airlines,LA,LAN,6631,LA6631,LAN6631,delta air lines,dl,dal,451.0,dl451,dal451,8.5,False,False
2025-07-05,scheduled,Portland International,America/Los_Angeles,PDX,KPDX,unknown,D15,0.0,2025-07-05 06:55:00+00:00,2025-07-05 06:55:00+00:00,null,null,null,John F Kennedy International,America/New_York,JFK,KJFK,4,B55,unknown,2025-07-05 15:25:00+00:00,Alitalia,AZ,AZA,3273,AZ3273,AZA3273,delta air lines,dl,dal,451.0,dl451,dal451,8.5,False,False
2025-07-05,scheduled,Portland International,America/Los_Angeles,PDX,KPDX,unknown,D15,0.0,2025-07-05 06:55:00+00:00,2025-07-05 06:55:00+00:00,null,null,null,John F Kennedy International,America/New_York,JFK,KJFK,4,B55,unknown,2025-07-05 15:25:00+00:00,Air France,AF,AFR,8535,AF8535,AFR8535,delta air lines,dl,dal,451.0,dl451,dal451,8.5,False,False
2025-07-05,scheduled,Portland International,America/Los_Angeles,PDX,KPDX,unknown,E10,11.0,2025-07-05 06:40:00+00:00,2025-07-05 06:40:00+00:00,null,null,null,Mineta San Jose International Airport,America/Los_Angeles,SJC,KSJC,B,24,unknown,2025-07-05 08:25:00+00:00,Southwest Airlines,WN,SWA,1722,WN1722,SWA1722,N/A,N/A,N/A,N/A,N/A,N/A,1.75,False,False
2025-07-05,scheduled,Portland International,America/Los_Angeles,PDX,KPDX,unknown,unknown,12.0,2025-07-05 06:35:00+00:00,2025-07-05 06:35:00+00:00,null,null,null,Louisville International (Standiford Field),America/Kentucky/Louisville,SDF,KSDF,unknown,unknown,unknown,2025-07-05 13:21:00+00:00,UPS Airlines,5X,UPS,5973,5X5973,UPS5973,N/A,N/A,N/A,N/A,N/A,N/A,6.766666666666667,False,True
2025-07-05,scheduled,Portland International,America/Los_Angeles,PDX,KPDX,unknown,C16,0.0,2025-07-05 06:35:00+00:00,2025-07-05 06:35:00+00:00,null,null,null,Denver International,America/Denver,DEN,KDEN,unknown,unknown,7,2025-07-05 10:14:00+00:00,Frontier Airlines,F9,FFT,1790,F91790,FFT1790,N/A,N/A,N/A,N/A,N/A,N/A,3.65,False,False
2025-07-05,scheduled,Portland International,America/Los_Angeles,PDX,KPDX,unknown,C16,0.0,2025-07-05 06:35:00+00:00,2025-07-05 06:35:00+00:00,null,null,null,Denver International,America/Denver,DEN,KDEN,unknown,unknown,7,2025-07-05 10:14:00+00:00,Volaris,Y4,VOI,2278,Y42278,VOI2278,frontier airlines,f9,fft,1790.0,f91790,fft1790,3.65,False,False
